date,factor,quantile,forward_return
2021-11-30,reversal_5d,4,0.029836739364226043
2021-11-30,reversal_5d,5,0.0725644316018732
2021-12-28,reversal_5d,1,-0.02564185099034919
2021-12-28,reversal_5d,2,-0.05542587661819422
2021-12-28,reversal_5d,3,-0.033662596620161696
2021-12-28,reversal_5d,4,0.014949372630135318
2021-12-28,reversal_5d,5,-0.009830458175973441
2022-01-26,reversal_5d,1,-0.01197880945435339
2022-01-26,reversal_5d,2,-0.011908072303092385
2022-01-26,reversal_5d,3,-0.01907491273311391
2022-01-26,reversal_5d,4,-0.03136950114177575
2022-01-26,reversal_5d,5,-0.024491853139971584
2022-03-02,reversal_5d,1,-0.0658229431332896
2022-03-02,reversal_5d,2,-0.05289126347609041
2022-03-02,reversal_5d,3,-0.0736152720070237
2022-03-02,reversal_5d,4,-0.07893061553234823
2022-03-02,reversal_5d,5,-0.09920799270597774
2022-03-30,reversal_5d,1,-0.035373959831643154
2022-03-30,reversal_5d,2,-0.0652565093683369
2022-03-30,reversal_5d,3,-0.07631741699485887
2022-03-30,reversal_5d,4,-0.09202344842899718
2022-03-30,reversal_5d,5,-0.06454114457276529
2022-04-29,reversal_5d,1,0.06687625763416483
2022-04-29,reversal_5d,2,0.03925712652464299
2022-04-29,reversal_5d,3,0.03036008700479309
2022-04-29,reversal_5d,4,0.0298183144916384
2022-04-29,reversal_5d,5,0.029145836934604114
2022-06-01,reversal_5d,1,0.12000421741409006
2022-06-01,reversal_5d,2,0.11217727412698793
2022-06-01,reversal_5d,3,0.09385971526941105
2022-06-01,reversal_5d,4,0.06874195973065735
2022-06-01,reversal_5d,5,0.08914907299519409
2022-06-30,reversal_5d,1,-0.0977638572840557
2022-06-30,reversal_5d,2,-0.03863806999197275
2022-06-30,reversal_5d,3,-0.06302512939081774
2022-06-30,reversal_5d,4,-0.012299530718578314
2022-06-30,reversal_5d,5,-0.016439191639399157
2022-07-28,reversal_5d,1,-0.0019283700833839365
2022-07-28,reversal_5d,2,-0.018053608695691545
2022-07-28,reversal_5d,3,-0.029954856431159537
2022-07-28,reversal_5d,4,-0.014981005358384184
2022-07-28,reversal_5d,5,-0.047486745242160566
2022-08-25,reversal_5d,1,-0.04337859611743264
2022-08-25,reversal_5d,2,-0.02258429039534508
2022-08-25,reversal_5d,3,-0.06852809993202658
2022-08-25,reversal_5d,4,-0.0751342287117432
2022-08-25,reversal_5d,5,-0.10032048853798668
2022-09-23,reversal_5d,1,-0.07568024125352853
2022-09-23,reversal_5d,2,-0.054007378950200864
2022-09-23,reversal_5d,3,-0.05419243606577188
2022-09-23,reversal_5d,4,-0.04551033427028444
2022-09-23,reversal_5d,5,-0.011427279689258609
2022-10-28,reversal_5d,1,0.023278051579714083
2022-10-28,reversal_5d,2,0.05127319249743358
2022-10-28,reversal_5d,3,0.08346839872091395
2022-10-28,reversal_5d,4,0.08322929902596925
2022-10-28,reversal_5d,5,0.10153257869069504
2022-11-25,reversal_5d,1,-0.041261597782402216
2022-11-25,reversal_5d,2,-0.030167751108577265
2022-11-25,reversal_5d,3,-0.0021758289504763624
2022-11-25,reversal_5d,4,0.015349268571199389
2022-11-25,reversal_5d,5,0.029637271068509743
2022-12-23,reversal_5d,1,0.08252630955314406
2022-12-23,reversal_5d,2,0.11653450241664014
2022-12-23,reversal_5d,3,0.07281855309304831
2022-12-23,reversal_5d,4,0.12229408238290225
2022-12-23,reversal_5d,5,0.12690750707904572
2023-01-30,reversal_5d,1,-0.052005298678302524
2023-01-30,reversal_5d,2,0.0127424227919123
2023-01-30,reversal_5d,3,0.00182099867123367
2023-01-30,reversal_5d,4,-0.01718708926187077
2023-01-30,reversal_5d,5,-0.020868075911266316
2023-02-27,reversal_5d,1,-0.0030182499102649513
2023-02-27,reversal_5d,2,-0.006838610887192779
2023-02-27,reversal_5d,3,-0.0017512113155921253
2023-02-27,reversal_5d,4,0.0007358220747031778
2023-02-27,reversal_5d,5,0.035659265884391014
2023-03-27,reversal_5d,1,-0.05141718962960203
2023-03-27,reversal_5d,2,-0.052420623846852824
2023-03-27,reversal_5d,3,-0.024590675124187465
2023-03-27,reversal_5d,4,0.003300818437275266
2023-03-27,reversal_5d,5,0.03437434416156493
2023-04-25,reversal_5d,1,-0.04060128727577318
2023-04-25,reversal_5d,2,-0.030976942669476037
2023-04-25,reversal_5d,3,-0.02709171986950306
2023-04-25,reversal_5d,4,-0.01212415794688599
2023-04-25,reversal_5d,5,-0.012624856477406736
2023-05-26,reversal_5d,1,0.020823015010222146
2023-05-26,reversal_5d,2,-0.004253325843417009
2023-05-26,reversal_5d,3,-0.004288029447269239
2023-05-26,reversal_5d,4,0.01948728538366253
2023-05-26,reversal_5d,5,-0.0014677799278334624
2023-06-27,reversal_5d,1,0.0031490858812846757
2023-06-27,reversal_5d,2,0.0289899480420102
