date,factor,rank_ic
2024-01-18,reversal_5d,-0.1745086265639198
2024-02-23,reversal_5d,-0.048789664190172034
2024-03-22,reversal_5d,-0.05054421631903631
2024-04-23,reversal_5d,-0.036721341785455934
2024-05-24,reversal_5d,-0.1263774182354721
2024-06-24,reversal_5d,-0.18827305928283466
2024-07-22,reversal_5d,0.06688298155019558
2024-08-19,reversal_5d,-0.020820900323437093
2024-09-18,reversal_5d,0.1944309679202777
2024-10-23,reversal_5d,-0.18433607525713003
2024-11-20,reversal_5d,-0.22015881520384525
2024-12-18,reversal_5d,-0.20210328784646445
2025-01-16,reversal_5d,-0.03498207988046172
2025-02-21,reversal_5d,0.4664071852712476
2025-03-21,reversal_5d,-0.18849816182225637
2025-04-21,reversal_5d,-0.13604945718689646
2025-05-22,reversal_5d,-0.03171999611116068
2025-06-20,reversal_5d,0.20578798383803268
2025-07-18,reversal_5d,0.0012435831787430845
2025-08-15,reversal_5d,-0.3623550073067662
2025-09-12,reversal_5d,-0.06347368119666336
2025-10-20,reversal_5d,-0.24339883378553934
2025-11-17,reversal_5d,0.2072620272501962
2025-12-15,reversal_5d,0.2088227373693687
2026-01-14,reversal_5d,0.11335759611889805
2026-02-11,reversal_5d,-0.17840882849845321
2026-03-19,reversal_5d,0.14349574286475733
2026-04-17,reversal_5d,-0.15777142984959164
2026-05-20,reversal_5d,-0.19259822242231894
2021-03-05,volatility_20d,-0.11366054163598473
2021-04-02,volatility_20d,0.16088136100194114
2021-05-06,volatility_20d,0.14308476453507096
2021-06-03,volatility_20d,-0.02660839332863211
2021-07-02,volatility_20d,0.0650581535253068
2021-07-30,volatility_20d,-0.2506430832080088
2021-08-27,volatility_20d,-0.26054111712352357
2021-09-28,volatility_20d,-0.19065879553769838
2021-11-02,volatility_20d,-0.040360452933972064
2021-11-30,volatility_20d,-0.11536144840454006
2021-12-28,volatility_20d,-0.2782838629949334
2022-01-26,volatility_20d,0.0013334187509186893
2022-03-02,volatility_20d,-0.1050571673018589
2022-03-30,volatility_20d,-0.06258848015961106
2022-04-29,volatility_20d,0.297707752308359
2022-06-01,volatility_20d,0.25211201238353337
2022-06-30,volatility_20d,-0.1767083006059989
2022-07-28,volatility_20d,-0.21342671220054307
2022-08-25,volatility_20d,-0.44471876851062714
2022-09-23,volatility_20d,-0.07292015748195134
2022-10-28,volatility_20d,-0.16475997457784564
2022-11-25,volatility_20d,0.022241605175188094
2022-12-23,volatility_20d,0.10194291972920166
2023-01-30,volatility_20d,-0.34495266285265397
2023-02-27,volatility_20d,-0.0341402573289636
2023-03-27,volatility_20d,-0.07614125890051401
2023-04-25,volatility_20d,-0.3115456681805708
2023-05-26,volatility_20d,0.1149495331458952
2023-06-27,volatility_20d,-0.3365721955781578
2023-07-25,volatility_20d,-0.32110093933153905
2023-08-22,volatility_20d,-0.2602854598394214
2023-09-19,volatility_20d,-0.17632864493100736
2023-10-25,volatility_20d,0.07379455971486211
2023-11-22,volatility_20d,-0.2296360281243549
2023-12-20,volatility_20d,-0.34126514618974385
2024-01-18,volatility_20d,-0.5261050501872424
2024-02-23,volatility_20d,0.228807190130726
2024-03-22,volatility_20d,-0.48882650841804587
2024-04-23,volatility_20d,-0.025468952484911378
2024-05-24,volatility_20d,-0.19948503546489926
2024-06-24,volatility_20d,-0.12721141481817133
2024-07-22,volatility_20d,-0.42237021437846545
2024-08-19,volatility_20d,-0.020326012656148255
2024-09-18,volatility_20d,0.320630718011351
2024-10-23,volatility_20d,0.185375007847467
2024-11-20,volatility_20d,-0.34891808668869434
2024-12-18,volatility_20d,-0.21620069761891697
2025-01-16,volatility_20d,0.34659469189257147
2025-02-21,volatility_20d,-0.3877745524225418
2025-03-21,volatility_20d,-0.3572319586017575
2025-04-21,volatility_20d,-0.011660784723944969
2025-05-22,volatility_20d,0.017167483111598568
2025-06-20,volatility_20d,0.26655858618790856
2025-07-18,volatility_20d,0.25419965198754896
2025-08-15,volatility_20d,0.3107557457197436
2025-09-12,volatility_20d,-0.012067938175858862
2025-10-20,volatility_20d,-0.19510273509073536
2025-11-17,volatility_20d,-0.0456195646621868
2025-12-15,volatility_20d,0.5033349573752008
2026-01-14,volatility_20d,-0.09159334172218413
2026-02-11,volatility_20d,-0.29163814587272485
2026-03-19,volatility_20d,0.27398236547312566
2026-04-17,volatility_20d,0.12222492719085035
2026-05-20,volatility_20d,-0.06883028166176723
2021-03-05,turnover_proxy_20d,-0.12205050006981885
2021-04-02,turnover_proxy_20d,0.12130825023703119
2021-05-06,turnover_proxy_20d,0.10315492394359937
2021-06-03,turnover_proxy_20d,-0.06292700526427998
2021-07-02,turnover_proxy_20d,0.0879059626504882
2021-07-30,turnover_proxy_20d,-0.18198828309128864
2021-08-27,turnover_proxy_20d,-0.29567261858465094
2021-09-28,turnover_proxy_20d,-0.0716863818993962
2021-11-02,turnover_proxy_20d,-0.09468928484641942
2021-11-30,turnover_proxy_20d,-0.09998410551374823
2021-12-28,turnover_proxy_20d,-0.22856869737878543
2022-01-26,turnover_proxy_20d,0.05273138263716961
2022-03-02,turnover_proxy_20d,0.03021366904076712
2022-03-30,turnover_proxy_20d,-0.04437960421782464
2022-04-29,turnover_proxy_20d,-0.1702352248358315
2022-06-01,turnover_proxy_20d,0.16679264775992764
2022-06-30,turnover_proxy_20d,-0.1214022666899438
2022-07-28,turnover_proxy_20d,-0.050490788841075086
2022-08-25,turnover_proxy_20d,-0.3044762719585773
2022-09-23,turnover_proxy_20d,-0.2491761019566884
2022-10-28,turnover_proxy_20d,-0.18189846553850597
2022-11-25,turnover_proxy_20d,-0.02705833071294764
2022-12-23,turnover_proxy_20d,0.01827033902162107
2023-01-30,turnover_proxy_20d,-0.40334361185545625
2023-02-27,turnover_proxy_20d,-0.0007515639897736677
2023-03-27,turnover_proxy_20d,0.10392737697085523
2023-04-25,turnover_proxy_20d,-0.22559761775130835
2023-05-26,turnover_proxy_20d,0.030198557761752908
2023-06-27,turnover_proxy_20d,-0.23511656287181756
2023-07-25,turnover_proxy_20d,-0.23891071225816055
2023-08-22,turnover_proxy_20d,-0.1506830075889732
2023-09-19,turnover_proxy_20d,-0.017579306436738187
2023-10-25,turnover_proxy_20d,0.02039093854589763
2023-11-22,turnover_proxy_20d,-0.009304103378926433
2023-12-20,turnover_proxy_20d,-0.1315077733562971
2024-01-18,turnover_proxy_20d,-0.020210666763118446
2024-02-23,turnover_proxy_20d,0.04097202901011705
2024-03-22,turnover_proxy_20d,-0.20009023366478867
2024-04-23,turnover_proxy_20d,-0.07600551961749841
2024-05-24,turnover_proxy_20d,0.12688854918133516
2024-06-24,turnover_proxy_20d,0.0853613324813426
2024-07-22,turnover_proxy_20d,-0.16871667259153927
2024-08-19,turnover_proxy_20d,-0.05699263325148057
2024-09-18,turnover_proxy_20d,0.046516932957610925
2024-10-23,turnover_proxy_20d,-0.079930674777573
2024-11-20,turnover_proxy_20d,-0.13720287305446513
2024-12-18,turnover_proxy_20d,0.01663370589914791
2025-01-16,turnover_proxy_20d,0.27881177705010834
2025-02-21,turnover_proxy_20d,-0.36747058062339805
2025-03-21,turnover_proxy_20d,-0.20732996571922746
2025-04-21,turnover_proxy_20d,0.1055644093286346
2025-05-22,turnover_proxy_20d,0.17165992640584185
2025-06-20,turnover_proxy_20d,0.1504468728442333
2025-07-18,turnover_proxy_20d,0.10610426865495595
2025-08-15,turnover_proxy_20d,0.16253639240216422
2025-09-12,turnover_proxy_20d,0.02408546802502761
2025-10-20,turnover_proxy_20d,-0.1844077780978865
2025-11-17,turnover_proxy_20d,0.06710564196331578
2025-12-15,turnover_proxy_20d,0.2490042975360996
2026-01-14,turnover_proxy_20d,-0.13592948581386877
2026-02-11,turnover_proxy_20d,-0.15110233215864963
2026-03-19,turnover_proxy_20d,0.2683352633552135
2026-04-17,turnover_proxy_20d,0.1903374693427127
2026-05-20,turnover_proxy_20d,0.14010161895205506
